filename,full_path,file_type,project_area,apparent_purpose,modified_date,version_information,referenced_by,live_website_use,relationship_to_other_versions,status,classification_note,source_root,size_bytes,sha256
Dragon_Catalog_Alignment_Audit.docx,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/AwakenArts_Workbook/Book_01_Mermaid/02_Dragon/Text/Dragon_Catalog_Alignment_Audit.docx,docx,Dragon prototype,Dragon Catalog Alignment Audit,2026-06-18T14:07:46-05:00,not explicit,not determined,NO / NOT APPLICABLE,byte-identical group of 3; primary: /Users/sashe/Projects/AwakenArts/awakenarts-site/AwakenArts_Workbook/02_Dragon/Text/Dragon_Catalog_Alignment_Audit.docx,DUPLICATE / REDUNDANT,Byte-identical to /Users/sashe/Projects/AwakenArts/awakenarts-site/AwakenArts_Workbook/02_Dragon/Text/Dragon_Catalog_Alignment_Audit.docx,CLAUDE_WORKING_FILES,40412,f80bc8535963ce72c2c758938be47395275b9e362441f8b3ff20d4c2bfd1824d
Dragon_Companion_Artwork_Brief.docx,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/AwakenArts_Workbook/Book_01_Mermaid/02_Dragon/Text/Dragon_Companion_Artwork_Brief.docx,docx,Dragon prototype,Dragon Companion Artwork Brief,2026-06-17T18:56:54-05:00,not explicit,not determined,NO / NOT APPLICABLE,byte-identical group of 3; primary: /Users/sashe/Projects/AwakenArts/awakenarts-site/AwakenArts_Workbook/02_Dragon/Text/Dragon_Companion_Artwork_Brief.docx,DUPLICATE / REDUNDANT,Byte-identical to /Users/sashe/Projects/AwakenArts/awakenarts-site/AwakenArts_Workbook/02_Dragon/Text/Dragon_Companion_Artwork_Brief.docx,CLAUDE_WORKING_FILES,38353,f615a5cb36924c8eecf3ae030e3ac3bd2b94c226e3b250458fe11e16f45406dd
Dragon_Encounter_Slides_v2.pptx,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/AwakenArts_Workbook/Book_01_Mermaid/02_Dragon/Text/Dragon_Encounter_Slides_v2.pptx,pptx,Dragon prototype,Dragon Encounter Slides v2,2026-06-17T19:26:50-05:00,version-like filename,repository text/code search,NO / NOT APPLICABLE,byte-identical group of 3; primary: /Users/sashe/Projects/AwakenArts/awakenarts-site/AwakenArts_Workbook/02_Dragon/Text/Dragon_Encounter_Slides_v2.pptx,DUPLICATE / REDUNDANT,Byte-identical to /Users/sashe/Projects/AwakenArts/awakenarts-site/AwakenArts_Workbook/02_Dragon/Text/Dragon_Encounter_Slides_v2.pptx,CLAUDE_WORKING_FILES,44777,986641ffe49ce98f1fa188932dbdf2a1bafe872e9a967f7551f0559f5fd4047b
Dragon_Facilitator_Notes.docx,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/AwakenArts_Workbook/Book_01_Mermaid/02_Dragon/Text/Dragon_Facilitator_Notes.docx,docx,Dragon prototype,Dragon Facilitator Notes,2026-06-17T18:56:54-05:00,not explicit,repository text/code search,NO / NOT APPLICABLE,byte-identical group of 3; primary: /Users/sashe/Projects/AwakenArts/awakenarts-site/AwakenArts_Workbook/02_Dragon/Text/Dragon_Facilitator_Notes.docx,DUPLICATE / REDUNDANT,Byte-identical to /Users/sashe/Projects/AwakenArts/awakenarts-site/AwakenArts_Workbook/02_Dragon/Text/Dragon_Facilitator_Notes.docx,CLAUDE_WORKING_FILES,38158,8b176eac7cfe648aa20c307b8f2b49053ab0bcc761333b305ecf5713bd1d372a
Dragon_Learning.docx,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/AwakenArts_Workbook/Book_01_Mermaid/02_Dragon/Text/Dragon_Learning.docx,docx,Dragon prototype,Dragon Learning,2026-06-17T18:56:54-05:00,not explicit,repository text/code search,NO / NOT APPLICABLE,same filename appears in 4 locations with differing content/hashes,DUPLICATE / REDUNDANT,Secondary working copy; compare against live repository before use,CLAUDE_WORKING_FILES,38594,1146173a3766176bcd9c38158b8b953b18c3ced790b578826b36e5290eaa06c5
Dragon_Notes_on_the_Figure.md,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/AwakenArts_Workbook/Book_01_Mermaid/02_Dragon/Text/Dragon_Notes_on_the_Figure.md,md,Dragon prototype,Dragon Notes on the Figure,2026-06-18T13:14:39-05:00,not explicit,repository text/code search,NO / NOT APPLICABLE,same filename appears in 3 locations with differing content/hashes,DUPLICATE / REDUNDANT,Secondary working copy; compare against live repository before use,CLAUDE_WORKING_FILES,8231,e5787021848014bb6ad7380662f7f9fa4297103ded66636d96bd78a30260d4da
Dragon_Reflection.docx,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/AwakenArts_Workbook/Book_01_Mermaid/02_Dragon/Text/Dragon_Reflection.docx,docx,Dragon prototype,Dragon Reflection,2026-06-17T18:56:54-05:00,not explicit,repository text/code search,NO / NOT APPLICABLE,same filename appears in 3 locations with differing content/hashes,DUPLICATE / REDUNDANT,Secondary working copy; compare against live repository before use,CLAUDE_WORKING_FILES,37966,e2aa0ac67460ad4334e5280f90b573d04b860a730dd4b5add9a2059854b12a90
Dragon_Slide_Deck.pptx,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/AwakenArts_Workbook/Book_01_Mermaid/02_Dragon/Text/Dragon_Slide_Deck.pptx,pptx,Dragon prototype,Dragon Slide Deck,2026-06-17T18:56:54-05:00,not explicit,repository text/code search,NO / NOT APPLICABLE,byte-identical group of 3; primary: /Users/sashe/Projects/AwakenArts/awakenarts-site/AwakenArts_Workbook/02_Dragon/Text/Dragon_Slide_Deck.pptx,DUPLICATE / REDUNDANT,Byte-identical to /Users/sashe/Projects/AwakenArts/awakenarts-site/AwakenArts_Workbook/02_Dragon/Text/Dragon_Slide_Deck.pptx,CLAUDE_WORKING_FILES,53232,3332455e6a98cace11af40bcea6f12e26efe93a9da838c43971afed8624e63ba
Dragon_Teaching_Insight.txt,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/AwakenArts_Workbook/Book_01_Mermaid/02_Dragon/Text/Dragon_Teaching_Insight.txt,txt,Dragon prototype,Dragon Teaching Insight,2026-06-16T08:39:45-05:00,not explicit,not determined,NO / NOT APPLICABLE,byte-identical group of 3; primary: /Users/sashe/Projects/AwakenArts/awakenarts-site/AwakenArts_Workbook/02_Dragon/Text/Dragon_Teaching_Insight.txt,DUPLICATE / REDUNDANT,Byte-identical to /Users/sashe/Projects/AwakenArts/awakenarts-site/AwakenArts_Workbook/02_Dragon/Text/Dragon_Teaching_Insight.txt,CLAUDE_WORKING_FILES,955,3600eb6414b675ab6c4cb7a24f96a9d58eb9dca7c58f825680a9af62131870bf
Dragon_Workshop_Plan.docx,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/AwakenArts_Workbook/Book_01_Mermaid/02_Dragon/Text/Dragon_Workshop_Plan.docx,docx,Dragon prototype,Dragon Workshop Plan,2026-06-17T18:56:54-05:00,not explicit,repository text/code search,NO / NOT APPLICABLE,same filename appears in 3 locations with differing content/hashes,DUPLICATE / REDUNDANT,Secondary working copy; compare against live repository before use,CLAUDE_WORKING_FILES,38540,aa431016cbf47295cce38fe4ef4f3231649e01750e3c161e1511ef9a7a1cb039
references.md,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/AwakenArts_Workbook/Book_01_Mermaid/02_Dragon/Text/references.md,md,Dragon prototype,references,2026-06-16T17:47:28-05:00,not explicit,repository text/code search,NO / NOT APPLICABLE,byte-identical group of 3; primary: /Users/sashe/Projects/AwakenArts/awakenarts-site/AwakenArts_Workbook/02_Dragon/Text/references.md,DUPLICATE / REDUNDANT,Byte-identical to /Users/sashe/Projects/AwakenArts/awakenarts-site/AwakenArts_Workbook/02_Dragon/Text/references.md,CLAUDE_WORKING_FILES,63,ed08406b4224b4e7826abda3a7cc675920b0fa4e401fd3f5149587e3f8f028dd
notes.txt,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/AwakenArts_Workbook/Book_01_Mermaid/Images/02_Dragon/notes.txt,txt,Dragon prototype,notes,2026-06-15T09:15:18-05:00,not explicit,repository text/code search,NO / NOT APPLICABLE,byte-identical group of 4; primary: /Users/sashe/Projects/AwakenArts/awakenarts-site/AwakenArts_Workbook/02_Dragon/notes.txt,DUPLICATE / REDUNDANT,Byte-identical to /Users/sashe/Projects/AwakenArts/awakenarts-site/AwakenArts_Workbook/02_Dragon/notes.txt,CLAUDE_WORKING_FILES,40,ad6c9781c86b195a64eebb3d08bf34782a6f274a30cc509d8ff44ed49d18d73d
The Dragon Fight.png,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/Poems/source-art/The Dragon Fight.png,png,Dragon prototype,The Dragon Fight,2026-07-20T14:08:07-05:00,not explicit,not determined,NO / NOT APPLICABLE,pending hash/name comparison,DUPLICATE / REDUNDANT,Secondary working copy; compare against live repository before use,CLAUDE_WORKING_FILES,1190210,7be16694f43fafb6a7eee41ce9a2955e94559f3ddcbe2f1a623b9a67f688ba83
AwakenArts_Facilitator_Companion_Brief.docx,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/AwakenArts_Workbook/Architecture/AwakenArts_Facilitator_Companion_Brief.docx,docx,Facilitator material,AwakenArts Facilitator Companion Brief,2026-06-14T17:43:39-05:00,not explicit,repository text/code search,NO / NOT APPLICABLE,byte-identical group of 3; primary: /Users/sashe/Projects/AwakenArts/awakenarts-site/AwakenArts_Workbook/Architecture/AwakenArts_Facilitator_Companion_Brief.docx,DUPLICATE / REDUNDANT,Byte-identical to /Users/sashe/Projects/AwakenArts/awakenarts-site/AwakenArts_Workbook/Architecture/AwakenArts_Facilitator_Companion_Brief.docx,CLAUDE_WORKING_FILES,22178,6a1b6d786523de918c9ba87c3fc85eb95df7b2425e8159de342cd2fd1455901f
AwakenArts_Facilitator_Resource_Brief.docx,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/AwakenArts_Workbook/Architecture/AwakenArts_Facilitator_Resource_Brief.docx,docx,Facilitator material,AwakenArts Facilitator Resource Brief,2026-06-14T11:10:38-05:00,not explicit,repository text/code search,NO / NOT APPLICABLE,byte-identical group of 3; primary: /Users/sashe/Projects/AwakenArts/awakenarts-site/AwakenArts_Workbook/Architecture/AwakenArts_Facilitator_Resource_Brief.docx,DUPLICATE / REDUNDANT,Byte-identical to /Users/sashe/Projects/AwakenArts/awakenarts-site/AwakenArts_Workbook/Architecture/AwakenArts_Facilitator_Resource_Brief.docx,CLAUDE_WORKING_FILES,25804,db789b74b4b4902786c9ab8a30e3e1a4136ff99e6e84002b3c426fe3fca53318
Edition_and_Companion_Connection_Map.md,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/AwakenArts_Workbook/Architecture/Edition_and_Companion_Connection_Map.md,md,Facilitator material,Edition and Companion Connection Map,2026-07-21T10:11:57-05:00,not explicit,not determined,NO / NOT APPLICABLE,pending hash/name comparison,DUPLICATE / REDUNDANT,Secondary working copy; compare against live repository before use,CLAUDE_WORKING_FILES,6419,884b59a1a0fdd43e50c8b742732db79f2c089d51f3fd1bda70c29a24df1ec379
Edition_and_Companion_Connection_Map.pdf,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/AwakenArts_Workbook/Architecture/Edition_and_Companion_Connection_Map.pdf,pdf,Facilitator material,Edition and Companion Connection Map,2026-07-21T10:11:57-05:00,not explicit,not determined,NO / NOT APPLICABLE,pending hash/name comparison,DUPLICATE / REDUNDANT,Secondary working copy; compare against live repository before use,CLAUDE_WORKING_FILES,32309,ec5c6705ea26260ae8da1d035db4a2538fe29977242fd4777fa786ea3bdf8f55
Grismere_Facilitator_Companion.docx,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/AwakenArts_Workbook/Book_01_Mermaid/01_Grismere/Final_Manuscript/Grismere_Facilitator_Companion.docx,docx,Facilitator material,Grismere Facilitator Companion,2026-06-16T09:53:23-05:00,not explicit,repository text/code search,NO / NOT APPLICABLE,same filename appears in 2 locations with differing content/hashes,DUPLICATE / REDUNDANT,Secondary working copy; compare against live repository before use,CLAUDE_WORKING_FILES,17798,0babf6f7c7183ff6ad2a031ba89d98e6a90f88c321e71ef5fbb9dd427a4f113c
Grismere_Companion_Image_Plan.docx,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/AwakenArts_Workbook/Book_01_Mermaid/01_Grismere/Grismere_Companion_Image_Plan.docx,docx,Facilitator material,Grismere Companion Image Plan,2026-06-16T11:40:18-05:00,not explicit,repository text/code search,NO / NOT APPLICABLE,byte-identical group of 3; primary: /Users/sashe/Projects/AwakenArts/awakenarts-site/AwakenArts_Workbook/01_Grismere/Grismere_Companion_Image_Plan.docx,DUPLICATE / REDUNDANT,Byte-identical to /Users/sashe/Projects/AwakenArts/awakenarts-site/AwakenArts_Workbook/01_Grismere/Grismere_Companion_Image_Plan.docx,CLAUDE_WORKING_FILES,12830,b67e9c59599cd8e3812fc6355ad07d0701ee2b916ecf41bcab14c060aec2e9d2
AGENTS.md,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/AGENTS.md,md,General AwakenArts,AGENTS,2026-07-14T07:33:36-05:00,not explicit,repository text/code search,NO / NOT APPLICABLE,same filename appears in 3 locations with differing content/hashes,DUPLICATE / REDUNDANT,Secondary working copy; compare against live repository before use,CLAUDE_WORKING_FILES,98,12bc119b3e31d66685ab8b762675704450d680d29c51c602b45d50acceed2fb1
AwakenArts — Ethos Constraint Sheet and Vocabulary Hierarchy Scaffold (Working Document).docx,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/AwakenArts — Ethos Constraint Sheet and Vocabulary Hierarchy Scaffold (Working Document).docx,docx,General AwakenArts,AwakenArts — Ethos Constraint Sheet and Vocabulary Hierarchy Scaffold (Working Document),2026-05-16T12:40:02-05:00,not explicit,not determined,NO / NOT APPLICABLE,pending hash/name comparison,DUPLICATE / REDUNDANT,Secondary working copy; compare against live repository before use,CLAUDE_WORKING_FILES,44116,514f9759ccb79dee6e5c8782ec423d07bf574b793a89083fb80ac6d816e6d938
AwakenArts — Phase 1 Inventory (Working Document).docx,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/AwakenArts — Phase 1 Inventory (Working Document).docx,docx,General AwakenArts,AwakenArts — Phase 1 Inventory (Working Document),2026-05-15T08:34:54-05:00,version-like filename,not determined,NO / NOT APPLICABLE,pending hash/name comparison,DUPLICATE / REDUNDANT,Secondary working copy; compare against live repository before use,CLAUDE_WORKING_FILES,39456,9000e73d3515b9be5fb1cbb7763b61c19443cbfa4440803168d01ac01c44eea1
AwakenArts — Phase 2 Execution Checklist and Constraint Sheets (Working Document).docx,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/AwakenArts — Phase 2 Execution Checklist and Constraint Sheets (Working Document).docx,docx,General AwakenArts,AwakenArts — Phase 2 Execution Checklist and Constraint Sheets (Working Document),2026-05-16T12:32:06-05:00,version-like filename,not determined,NO / NOT APPLICABLE,pending hash/name comparison,DUPLICATE / REDUNDANT,Secondary working copy; compare against live repository before use,CLAUDE_WORKING_FILES,43080,c87b6b655aac977d774f9318077d9699b16e6b2f26f6f3a28e2339ff6311043e
AwakenArts — Phase 5 Document-Level Stabilization.docx,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/AwakenArts — Phase 5 Document-Level Stabilization.docx,docx,General AwakenArts,AwakenArts — Phase 5 Document Level Stabilization,2026-05-20T07:29:15-05:00,version-like filename,not determined,NO / NOT APPLICABLE,same filename appears in 2 locations with differing content/hashes,DUPLICATE / REDUNDANT,Secondary working copy; compare against live repository before use,CLAUDE_WORKING_FILES,55572,b4240158a9c889a668b9a9a2cdcd47dfd33af76a31edcfb43409e6ab24f3542f
AwakenArts — Stabilization and Implementation Plan (Working Document).docx,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/AwakenArts — Stabilization and Implementation Plan (Working Document).docx,docx,General AwakenArts,AwakenArts — Stabilization and Implementation Plan (Working Document),2026-05-16T11:32:55-05:00,not explicit,not determined,NO / NOT APPLICABLE,pending hash/name comparison,DUPLICATE / REDUNDANT,Secondary working copy; compare against live repository before use,CLAUDE_WORKING_FILES,53222,a20b5120cc43d6eb84f70a5761f5ffc7fa07a13cea3d6d6eff71c513d85d4235
AwakenArts — Studio Page (Working Draft).docx,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/AwakenArts — Studio Page (Working Draft).docx,docx,General AwakenArts,AwakenArts — Studio Page (Working Draft),2026-05-16T20:50:08-05:00,not explicit,not determined,NO / NOT APPLICABLE,pending hash/name comparison,DUPLICATE / REDUNDANT,Secondary working copy; compare against live repository before use,CLAUDE_WORKING_FILES,38898,fb66a62360a979e365aef860385759e84b81f7d1000a102af530f52ab013ba37
AwakenArts_Asset_Creation_Playbook_Revised.pdf,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/AwakenArts_Asset_Creation_Playbook_Revised.pdf,pdf,General AwakenArts,AwakenArts Asset Creation Playbook Revised,2026-08-02T18:37:05-05:00,not explicit,not determined,NO / NOT APPLICABLE,pending hash/name comparison,DUPLICATE / REDUNDANT,Secondary working copy; compare against live repository before use,CLAUDE_WORKING_FILES,10579,85d7a6b739ff08de871707287220af0a4753733fb475915276e628181801f35e
AwakenArts_Method_DRAFT_v37.docx,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/AwakenArts_Book/01_Manuscript/Working/AwakenArts_Method_DRAFT_v37.docx,docx,General AwakenArts,AwakenArts Method DRAFT v37,2026-07-20T21:46:01-05:00,version-like filename,not determined,NO / NOT APPLICABLE,pending hash/name comparison,DUPLICATE / REDUNDANT,Secondary working copy; compare against live repository before use,CLAUDE_WORKING_FILES,3352963,1a9933377230a2c58ee2640df815da025b508c1597305dcf85b84fe0f270a912
AwakenArts_Method_DRAFT_v37.pdf,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/AwakenArts_Book/01_Manuscript/Working/AwakenArts_Method_DRAFT_v37.pdf,pdf,General AwakenArts,AwakenArts Method DRAFT v37,2026-07-20T21:46:01-05:00,version-like filename,not determined,NO / NOT APPLICABLE,pending hash/name comparison,DUPLICATE / REDUNDANT,Secondary working copy; compare against live repository before use,CLAUDE_WORKING_FILES,2102919,fe413b4f8c11e72370ce1de4e06cbde37a5297be20ff7a6b4eabba3fc51b44be
